Bytes,Base BA,Base Pred.,Appended BA,Appended Pred.,New BA,New Pred.
101000,0.9916666746139526,0.07416216,0.8138889074325562,0.77859163,0.9888888597488403,0.12401311
1000,0.9916666746139526,0.07416216,0.8416666388511658,0.6919026,0.9888888597488403,0.050156325
101000,0.9916666746139526,0.07416216,0.7916666865348816,0.7775079,0.9916666746139526,0.05304636
1000,0.9916666746139526,0.07416216,0.8055555820465088,0.7748241,0.9861111044883728,0.1666314
101000,0.9916666746139526,0.07416216,0.8416666388511658,0.6982876,0.9861111044883728,0.12884153
1000,0.9916666746139526,0.07416216,0.875,0.6031448,0.9888888597488403,0.09502994
101000,0.9916666746139526,0.07416216,0.875,0.59519464,0.9861111044883728,0.08956874
1000,0.9916666746139526,0.07416216,0.8166666626930237,0.7523185,0.9861111044883728,0.05172729
101000,0.9916666746139526,0.07416216,0.769444465637207,0.8387077,0.9888888597488403,0.17011711
1000,0.9916666746139526,0.07416216,0.8666666746139526,0.64169043,0.9972222447395325,0.10869127
1000,0.9777777791023254,0.19168939,0.8444444537162781,0.8372544,0.9916666746139526,0.23490192
